	x	y
0	-0.00048002638504840434	-4.0417015156890557e-07
1	-0.0012740286765620112	-7.624527825100813e-06
2	-0.0021462347358465195	-1.3044978913967498e-05
3	-0.0035463529638946056	9.735220373841003e-06
4	-0.004656767472624779	3.6211837141308933e-05
5	-0.006594147067517042	6.6721549956128e-05
6	-0.007873359136283398	0.00011746126256184652
7	-0.01619642972946167	0.00018930913938675076
8	-0.03031972050666809	0.0002866621653083712
9	-0.04405063018202782	0.00035384765942581
10	-0.05507747083902359	0.000402596517233178
11	-0.057815343141555786	0.0004515555046964437
12	-0.06095646321773529	0.00048438363592140377
13	-0.05879940092563629	0.0005075185326859355
14	-0.06076110526919365	0.0005340987117961049
15	-0.06296465545892715	0.0005579597782343626
16	-0.06504318863153458	0.0005502034910023212
17	-0.06587684154510498	0.0005340337520465255
18	-0.06771215051412582	0.0004780820745509118
19	-0.07020945101976395	0.0003804635489359498
20	-0.07289785146713257	0.00029694786644540727
21	-0.07571188360452652	0.00020316673908382654
22	-0.07829838991165161	0.0001281790027860552
23	-0.07639060914516449	3.8528953155037016e-05
24	-0.08635498583316803	-6.99568772688508e-05
25	-0.0925673395395279	-0.00013125433179084212
26	-0.09916671365499496	-0.00015186362725216895
27	-0.10568805783987045	-0.0002476716763339937
28	-0.09105184674263	-0.00022776219702791423
29	-0.08574143797159195	-0.00030602116021327674
30	-0.07983718812465668	-0.00037869304651394486
31	-0.07684425264596939	-0.0004702311707660556
32	-0.07343720644712448	-0.0005141326109878719
33	-0.07047276198863983	-0.0005246009095571935
34	-0.07521562278270721	-0.0005372351151891053
35	-0.07771550863981247	-0.0005083775613456964
36	-0.08104030042886734	-0.0003981565241701901
37	-0.08460581302642822	-0.00023906164278741926
38	-0.08847598731517792	-0.00015808589523658156
39	-0.09897418320178986	-8.027689182199538e-05
40	-0.10988432914018631	-8.806819096207619e-05
41	-0.12007492780685425	-9.063460311153904e-05
42	-0.1297674924135208	-6.637641490669921e-05
43	-0.13862602412700653	-3.4909448004327714e-05
44	-0.14696481823921204	-3.298412775620818e-05
45	-0.15534096956253052	-3.266421117587015e-05
46	-0.16351504623889923	5.235455319052562e-05
47	-0.16885590553283691	8.09143457445316e-05
48	-0.18264001607894897	5.744344525737688e-05
49	-0.1955338567495346	3.477789869066328e-05
50	-0.2064153105020523	2.646326902322471e-05
51	-0.21700915694236755	-1.2717173376586288e-05
52	-0.21604907512664795	-3.191114228684455e-05
53	-0.20826654136180878	-3.9274302253033966e-05
54	-0.2120136320590973	-7.347678183577955e-05
55	-0.2091924101114273	-0.00016823437181301415
56	-0.21332432329654694	-0.00024973461404442787
57	-0.21568109095096588	-0.0003300428797956556
58	-0.21660569310188293	-0.00044125429121777415
